ts,elapsed,gpu_core,gpu_util,gpu_power,gpu_clock,gpu_vram,cpu_tctl,cpu_ccd1,pump_rpm,rad_rpm,rad_duty,f1_duty,f2_duty,f3_duty,f1_rpm,f2_rpm,f3_rpm
1787460880,162.8,51.0,5.0,87.62,2535.0,60.0,79.125,62.500003814697266,2173.9130859375,1783.3553466796875,51.764705657958984,25,28,30,612,648,714
1787460881,164.3,51.0,7.0,87.71,2550.0,60.0,79.125,62.500003814697266,2173.9130859375,1783.3553466796875,51.764705657958984,25,28,35,613,650,776
1787460883,165.8,51.0,6.0,90.15,2565.0,60.0,87.25,84.62500762939453,2170.41796875,1869.80615234375,60.7843132019043,25,28,35,609,646,820
1787460885,167.6,52.0,30.0,124.37,2835.0,60.0,87.25,84.62500762939453,2170.41796875,1869.80615234375,60.7843132019043,25,28,35,612,650,831
1787460886,169.1,50.0,3.0,93.44,2535.0,60.0,90.875,92.37500762939453,2173.9130859375,2109.375,67.8431396484375,25,28,35,614,645,824
1787460888,170.6,50.0,10.0,87.5,2670.0,60.0,90.875,92.37500762939453,2173.9130859375,2109.375,67.8431396484375,25,28,35,608,643,817
1787460889,172.3,52.0,32.0,167.17,2880.0,,,,,,,25,28,43,610,645,925
1787460891,174.1,56.0,64.0,229.5,2850.0,60.0,91.25,88.00000762939453,2173.9130859375,2170.41796875,73.72549438476562,25,28,43,613,647,975
1787460893,175.8,56.0,63.0,250.6,2835.0,60.0,89.5,87.50000762939453,2163.46142578125,2227.72265625,78.82353210449219,25,28,43,612,647,967
1787460895,177.6,57.0,80.0,259.3,2835.0,62.0,88.75,82.37500762939453,2173.9130859375,2528.08984375,78.82353210449219,31,34,43,719,700,970
1787460896,179.1,55.0,47.0,256.81,2827.0,62.0,88.75,83.75000762939453,2166.93408203125,2551.98486328125,83.92156982421875,31,34,43,733,732,969
1787460898,180.8,58.0,91.0,250.56,2827.0,62.0,87.625,84.25000762939453,2170.41796875,2119.309326171875,68.62744903564453,31,34,43,740,746,974
1787460899,182.3,58.0,82.0,304.14,2820.0,62.0,85.625,66.875,2173.9130859375,2106.084228515625,68.62744903564453,31,34,43,744,752,970
1787460901,183.8,58.0,68.0,270.24,2842.0,62.0,80.375,67.75,2170.41796875,2227.72265625,68.62744903564453,31,34,43,743,751,974
1787460902,185.3,59.0,83.0,331.31,2827.0,62.0,78.12500762939453,65.0,2170.41796875,2177.41943359375,68.62744903564453,31,34,49,750,756,1065
1787460904,187.1,54.0,5.0,316.45,2880.0,62.0,75.00000762939453,60.500003814697266,2170.41796875,2205.88232421875,68.62744903564453,31,34,49,751,753,1083
1787460906,188.6,62.0,97.0,385.88,2820.0,64.0,73.50000762939453,69.625,2166.93408203125,2231.405029296875,68.62744903564453,31,34,49,751,756,1090
1787460907,190.1,62.0,98.0,424.43,2820.0,64.0,70.62500762939453,62.750003814697266,2163.46142578125,2238.805908203125,68.62744903564453,31,34,49,748,757,1083
1787460909,191.6,62.0,95.0,419.74,2820.0,64.0,68.75000762939453,62.750003814697266,2163.46142578125,2220.394775390625,68.62744903564453,31,34,49,751,758,1088
1787460910,193.1,61.0,85.0,416.83,2820.0,64.0,66.62500762939453,61.125003814697266,2163.46142578125,2235.099365234375,68.62744903564453,31,34,49,750,755,1084
1787460912,194.6,63.0,90.0,435.64,2805.0,64.0,66.75000762939453,58.625003814697266,2173.9130859375,2227.72265625,68.62744903564453,31,34,49,751,757,1092
